Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Диаметр ножа,Толщина нарезки
https://cdn.entero.ru/mp@2x/2a/e1/2ae14348178d81d705d7d5a3f9bcd07c.jpg;https://cdn.entero.ru/mp@2x/ac/15/ac15c6bbfb793fbff3c0d7d135fd4614.jpg;https://cdn.entero.ru/mp@2x/6c/c0/6cc0246359917ec11ce355eaa8eb4721.jpg;https://cdn.entero.ru/mp@2x/43/1c/431c19d207c6f3a051044cd4e81f6d6a.jpg;https://cdn.entero.ru/mp@2x/6f/c8/6fc8895e84437590d9953a7542eda4fc.jpg,Ломтерезка Graef SKS 320 TWIN,S32020,29775,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/265061,"<p>Ломтерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265061"">Graef SKS 320 TWIN</a></b> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена энергосберегающим двигателем и ножом с зазубренным лезвием. Корпус выполнен из металла, нож - из нержавеющей стали. </p>

<p>В комплект поставки входят 2 ножа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка толщины нарезки </li>
<li>Держатель Mini Slice для нарезки маленьких продуктов (помидоры черри или редис) </li>
<li>Замок от детей</li>
<li>Защитная накладка на нож для уменьшения трения и облегчения нарезки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность двигателя: 0,045 кВт</li>
<li>Пиковая мощность нарезки: 0,17 кВт</li>
<li>Длина нарезки: 225 мм</li>
<li>Цвет: серебристый</li>
</ul>",265061,220 В,0.17 кВт,345 мм,237 мм,255 мм,0,https://entero.ru/manuals/328111/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20SKS%20320%20TWIN.pdf,,3.08 кг,Германия,Германия,170 мм,от 0 до 20 мм
https://cdn.entero.ru/mp@2x/fa/b4/fab4f270a2c0e966b45facb8c67e16ac.jpg;https://cdn.entero.ru/mp@2x/40/96/40964db7f27cbd24c92427ff355836b4.jpg;https://cdn.entero.ru/mp@2x/06/90/06902d04ddd9a5a71934156fc299a231.jpg;https://cdn.entero.ru/mp@2x/de/6e/de6e343eb66c2c41aba8865770394b18.jpg,Ломтерезка Graef Сlassic C22,C22EU,42590,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/265041,"<p>Ломтерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265041"">Graef Сlassic C22</a></b> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена бесшумным конденсаторным двигателем и ножом с зазубренным лезвием. Корпус выполнен из металла, основание - из небьющегося стекла, нож - из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка толщины нарезки </li>
<li>Держатель Mini Slice для нарезки маленьких продуктов (помидоры черри или редис) </li>
<li>Режим непрерывной нарезки</li>
<li>Режим нарезки при нажатии на кнопку</li>
<li>Замок от детей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина нарезки: 220 мм</li>
<li>Цвет: серебристый</li>
</ul>",265041,220 В,0.17 кВт,373 мм,313 мм,255 мм,0,,46293,7.93 кг,Германия,Германия,170 мм,от 0 до 20 мм
https://cdn.entero.ru/mp@2x/0e/29/0e2900cc9a8b1c52dc9717422cef32e2.jpg;https://cdn.entero.ru/mp@2x/82/a6/82a6c715058282904acfd51c2e2d7358.jpg;https://cdn.entero.ru/mp@2x/58/9c/589c6247d85b9c35a6433d865afd5a7c.jpg;https://cdn.entero.ru/mp@2x/26/13/26136fc3687fd44063c248412ed4b1ec.jpg;https://cdn.entero.ru/mp@2x/48/45/484510508e0c0fcac424b8079e66b9ce.jpg;https://cdn.entero.ru/mp@2x/4e/e2/4ee24936e8a6f82b0db72599e9ec04fa.jpg,Ломтерезка Graef SKS 500,S50000,49560,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/265071,"<p>Ломтерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265071"">Graef SKS 500</a></b> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена бесшумным конденсаторным двигателем и ножом с зазубренным лезвием. Корпус выполнен из металла, нож - из нержавеющей стали. </p>

<p>В комплект поставки входит контейнер с крышкой для удобства нарезки и хранения продуктов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка толщины нарезки </li>
<li>Центральный блок управления (регулировка толщины нарезки и кнопка включения)</li>
<li>Держатель Mini Slice для нарезки маленьких продуктов (помидоры черри или редис) </li>
<li>Приподнятая конструкция корпуса позволяет производить нарезку в контейнер или тарелку</li>
<li>Защитная накладка на нож для уменьшения трения и облегчения нарезки</li>
<li>Двойной замок от детей</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: серебристый</li>
</ul>",265071,220 В,0.17 кВт,370 мм,295 мм,285 мм,0,https://entero.ru/manuals/328145/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20SKS%20500.pdf,53290,4.8 кг,Германия,Германия,170 мм,от 0 до 30 мм
https://cdn.entero.ru/mp@2x/56/11/561134cf3d2260829f5148bab611bfa9.jpg;https://cdn.entero.ru/mp@2x/3c/73/3c733c9e6cf64ebf3d11b00fbd4801be.jpg;https://cdn.entero.ru/mp@2x/56/5d/565d39c68cb2acf7adcf744adc365dc5.jpg;https://cdn.entero.ru/mp@2x/9c/a4/9ca4d3e8111245e5014c6b817e77d871.jpg;https://cdn.entero.ru/mp@2x/62/db/62dbd704503b74845413f4b0c11c22f4.jpg;https://cdn.entero.ru/mp@2x/ca/ed/caedf998a9fd09fde7afd8ae02e5329f.jpg;https://cdn.entero.ru/mp@2x/48/8b/488b65285ad7046e1a72de460cead5dc.jpg,Ломтерезка Graef Master M95,M95EU,59100,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/374790,"<p>Ломтерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374790"">Graef Master M95</a></b> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена бесшумным конденсаторным двигателем и ножом. Быстродействующий переключатель для включения машины и нарезки одной рукой гарантирует комфортную эксплуатацию. Благодаря функции наклона слайсера на 30° нарезанные продукты можно удобно складывать на поддон. Цельнометаллическое лезвие выполнено из нержавеющей стали, закаленной с полой шлифовкой.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Легкая очистка благодаря снимаемой каретке</li>
<li>Простое снятие ножа для чистки и обслуживания</li>
<li>Блокировка от детей</li>
</ul>",374790,220 В,0.17 кВт,,,,0,,,,Германия,Германия,,
https://cdn.entero.ru/mp@2x/a5/9c/a59ca69e449eecb3621c818f837aa043.jpg;https://cdn.entero.ru/mp@2x/c6/c1/c6c19cd705c67b6c5dc9c8501b5dd707.jpg;https://cdn.entero.ru/mp@2x/b3/0d/b30d3d5a93eb68018decda768f2a2685.jpg;https://cdn.entero.ru/mp@2x/fc/40/fc4008d44cb42483c1f3965f449355da.jpg;https://cdn.entero.ru/mp@2x/da/d0/dad0e0809b7bfec003e4cd4a3cf63fd7.jpg,Ломтерезка Steba AS 100,Ломтерезка Steba AS 100,10196,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/245511,"<p>Ломтерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245511""><b class=""b"">Steba AS 100</b></a> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена нескользящими прорезиненными ножками. Нож выполнен из нержавеющей стали Solingen, корпус и направляющие - из металла. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая толщина нарезки </li>
<li>Компактный размер</li>
<li>Нож 2 в 1 для ветчины и сыра</li>
<li>Плавно движущаяся направляющая с защитным кожухом и держателем для продуктов</li>
<li>Система безопасности: работа только при двух нажатых кнопках</li>
<li>Место хранения шнура</li>
<li>Легкая очистка благодаря съемным частям</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер в сложенном виде: 200x95x330 мм</li>
<li>Цвет корпуса: черный</li>
</ul>",245511,220 В,0.1 кВт,265 мм,330 мм,200 мм,0,,,1.5 кг,Германия,Словения,170 мм,от 0 до 17 мм
https://cdn.entero.ru/mp@2x/93/f8/93f864819677ffe7530266c2952541cd.jpg;https://cdn.entero.ru/mp@2x/06/89/0689d5a836f298578b4a2ab721ddf629.jpg;https://cdn.entero.ru/mp@2x/28/53/2853eb85c904b42c6b5b7fc5d071a7b6.jpg;https://cdn.entero.ru/mp@2x/5c/ee/5ceeed33287a801ff61110d51f43900c.jpg;https://cdn.entero.ru/mp@2x/ae/d6/aed6cacf5ff6bc227708434818539a6d.jpg,Ломтерезка Bomann MA 451 CB серебристая,MA 451 CB silber,14990,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/116778,"<p>Ломтерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116778""><b class=""b"">Bomann MA 451 CB</b></a> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Корпус выполнен из литого алюминия, нож и каретка - из нержавеющей стали. Ломтерезка имеет cтильный современный дизайн, удобна и проста в использовании.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесступенчатая регулировка толщины нарезки</li>
<li>Универсальная насечка ножа</li>
<li>Держатель для продуктов с защитой пальцев</li>
</ul>

<p> </p>",116778,220 В,0.15 кВт,370 мм,270 мм,220 мм,0,https://entero.ru/manuals/117395/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20MA%20451%20CB.pdf;https://entero.ru/manuals/121627/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Bomann%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,16293,4.2 кг,Германия,Китай,190 мм,от 0 до 15 мм
https://cdn.entero.ru/mp@2x/e5/1f/e51f6246913fda0912a47cd80ee79597.jpg;https://cdn.entero.ru/mp@2x/5c/8d/5c8da0253cf39ea76da6048d48172c1b.jpg;https://cdn.entero.ru/mp@2x/01/27/0127ff17b0cf8adf2147622f4c2b3c76.jpg;https://cdn.entero.ru/mp@2x/86/be/86befe661ab8a6ebf1ffe6073ec5ae41.jpg,Ломтерезка Clatronic MA 3585,MA 3585 silber,14990,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/210375,"<p>Ломтерезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210375"">Clatronic MA 3585</a></b> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена нескользящими прорезиненными ножками.Корпус мотора выполнен из литого алюминия, нож - из нержавеющей стали, корпус и направляющие - из металла. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесступенчатая регулировка толщины нарезки</li>
<li>Универсальный зазубренный нож</li>
<li>Держатель для продуктов с защитой пальцев</li>
<li>Наклонный опорный стол</li>
</ul>",210375,220 В,0.15 кВт,365 мм,265 мм,235 мм,0,https://entero.ru/manuals/246331/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20MA%203585.pdf,15615,4.2 кг,Германия,Китай,190 мм,от 0 до 15 мм
https://cdn.entero.ru/mp@2x/fc/70/fc70c951a16ede49f440a36ccff27c5b.jpg;https://cdn.entero.ru/mp@2x/32/57/32570c8408f58b1bc79c39313304668d.jpg;https://cdn.entero.ru/mp@2x/d5/62/d562b45161443a974a34a9f81e305d00.jpg;https://cdn.entero.ru/mp@2x/e6/9b/e69b65b8154a6f3f8d03dd1b219eec06.jpg;https://cdn.entero.ru/mp@2x/1a/b6/1ab6dfd2e87eae77179bdb0974e50941.jpg;https://cdn.entero.ru/mp@2x/bc/9e/bc9e485f50863260247226bc423d0384.jpg;https://cdn.entero.ru/mp@2x/04/11/0411a1dc903f6d6c02ecc87f932d7e40.jpg,Ломтерезка Steba AS 200,Ломтерезка Steba AS 200,15373,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/245512,"<p>Ломтерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245512""><b class=""b"">Steba AS 200</b></a> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена нескользящими прорезиненными ножками. Нож выполнен из нержавеющей стали Solingen, корпус и направляющие - из металла. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая толщина нарезки </li>
<li>Компактный размер</li>
<li>Нож 2 в 1 для ветчины и сыра</li>
<li>Плавно движущаяся направляющая с защитным кожухом и держателем для продуктов</li>
<li>Система безопасности: работа только при двух нажатых кнопках</li>
<li>Место хранения шнура</li>
<li>Легкая очистка благодаря съемным частям</li>
<li>Низкий уровень шума</li>
<li>Цвет: серебристый / черный</li>
</ul>",245512,220 В,0.11 кВт,235 мм,335 мм,230 мм,0,https://entero.ru/manuals/296702/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20AS%20200%20%28%D0%BD%D0%B5%D0%BC.%29.pdf,,2.1 кг,Германия,Словения,170 мм,от 0 до 15 мм
https://cdn.entero.ru/mp@2x/04/2b/042be8a71cc8dffef8d46547e823c3c2.jpg;https://cdn.entero.ru/mp@2x/85/35/8535616b9afd8a8bffd5166b986a11a5.jpg;https://cdn.entero.ru/mp@2x/67/ad/67ad9446b01e3eb8b14a50fa76cd85e2.jpg;https://cdn.entero.ru/mp@2x/96/10/961062fcfe7b7b525b792375419006c1.jpg;https://cdn.entero.ru/mp@2x/5e/42/5e42f2ab79537f01397d81a033209e80.jpg,Ломтерезка Graef SKS 100 TWIN черная,S10022,20895,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/265054,"<p>Ломтерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265054""><b class=""b"">Graef SKS 100 TWIN</b></a> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена энергосберегающим двигателем и ножом с зазубренным лезвием. Корпус выполнен из металла, нож - из нержавеющей стали. </p>

<p>В комплект поставки входят 2 ножа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка толщины нарезки </li>
<li>Держатель Mini Slice для нарезки маленьких продуктов (помидоры черри или редис) </li>
<li>Замок от детей</li>
<li>Защитная накладка на нож для уменьшения трения и облегчения нарезки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность двигателя: 0,045 кВт</li>
<li>Пиковая мощность нарезки: 0,17 кВт</li>
<li>Длина нарезки: 225 мм</li>
<li>Цвет: черный</li>
</ul>",265054,220 В,0.17 кВт,325 мм,230 мм,240 мм,0,https://entero.ru/manuals/328102/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20SKS%20100%20TWIN.pdf,,2.33 кг,Германия,Германия,170 мм,от 0 до 20 мм
https://cdn.entero.ru/mp@2x/7e/74/7e744749e06166e2b547ef0faa282c34.jpg;https://cdn.entero.ru/mp@2x/c4/d0/c4d0462ef39c0312d5b8455df39cf83c.jpg;https://cdn.entero.ru/mp@2x/f3/cd/f3cd5f3ef3042350624ee9b851637ada.jpg;https://cdn.entero.ru/mp@2x/17/54/1754bbb100ef65466fc2c7deb0669b62.jpg;https://cdn.entero.ru/mp@2x/83/00/83005b30f6206bce8aeb61dda24c6f42.jpg,Ломтерезка Graef SKS 100 TWIN белая,S10021,20895,RUB,Да,,Бытовая техника,Техника для кухни,Ломтерезки,https://entero.ru/item/265055,"<p>Ломтерезка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265055""><b class=""b"">Graef SKS 100 TWIN</b></a> предназначена для нарезки хлеба, мяса, сыра и других видов продуктов в квартирах, частных домах, отелях и офисах. Модель оснащена энергосберегающим двигателем и ножом с зазубренным лезвием. Корпус выполнен из металла, нож - из нержавеющей стали. </p>

<p>В комплект поставки входят 2 ножа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка толщины нарезки </li>
<li>Держатель Mini Slice для нарезки маленьких продуктов (помидоры черри или редис) </li>
<li>Замок от детей</li>
<li>Защитная накладка на нож для уменьшения трения и облегчения нарезки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность двигателя: 0,045 кВт</li>
<li>Пиковая мощность нарезки: 0,17 кВт</li>
<li>Длина нарезки: 225 мм</li>
<li>Цвет: белый</li>
</ul>",265055,220 В,0.17 кВт,325 мм,230 мм,240 мм,0,https://entero.ru/manuals/328103/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20SKS%20100%20TWIN.pdf,22468,2.33 кг,Германия,Германия,170 мм,от 0 до 20 мм
